Phenotype	SNPs	Beta	SE	Pvalue	subtype	method
Homocysteine 	12	0.026372687	0.135821177	0.846041109	squamous cell carcinoma	IVW
hip circumference 	52	0.097679647	0.118723961	0.410652532	adenocarcinoma	IVW
hip circumference 	52	0.287639398	0.184313001	0.118617482	small cell carcinoma	IVW
hip circumference 	52	0.232178195	0.165161257	0.159793414	squamous cell carcinoma	IVW
height 	607	0.070826041	0.0322254	0.027961022	adenocarcinoma	IVW
height 	599	-0.057942366	0.053228875	0.276351754	small cell carcinoma	IVW
height 	607	0.002348824	0.034608192	0.945889906	squamous cell carcinoma	IVW
HDL cholesterol 	121	-0.00095645	0.042550975	0.982066857	adenocarcinoma	IVW
HDL cholesterol 	121	0.026490259	0.085490957	0.756667149	small cell carcinoma	IVW
HDL cholesterol 	121	0.04049022	0.051483389	0.431591291	squamous cell carcinoma	IVW
FEV 	4	0.155190913	0.419127618	0.711180382	adenocarcinoma	IVW
FEV 	4	-0.386024004	0.652369875	0.554034302	small cell carcinoma	IVW
FEV 	4	-0.450868572	0.777983795	0.562228469	squamous cell carcinoma	IVW
fasting glucose	37	0.07319504	0.090648901	0.419403551	adenocarcinoma	IVW
fasting glucose	35	0.006990738	0.199211467	0.972006346	small cell carcinoma	IVW
fasting glucose	37	0.22253486	0.094179057	0.018132995	squamous cell carcinoma	IVW
CRP	2	-0.098886947	0.101465771	0.329766505	adenocarcinoma	IVW
CRP	2	0.053578816	0.181581645	0.767942423	small cell carcinoma	IVW
CRP	2	0.309354449	0.116336908	0.007834375	squamous cell carcinoma	IVW
Coffee	5	0.073067059	0.246317691	0.766743294	adenocarcinoma	IVW
Coffee	5	0.831454955	0.505192334	0.099801105	small cell carcinoma	IVW
Coffee	5	0.315412115	0.364741419	0.387173051	squamous cell carcinoma	IVW
Chronic bronchitis and chronic obstructive pulmonary disease	2	0.030832997	0.041382703	0.456229596	adenocarcinoma	IVW
Chronic bronchitis and chronic obstructive pulmonary disease	2	0.007732541	0.298748142	0.979350545	small cell carcinoma	IVW
Chronic bronchitis and chronic obstructive pulmonary disease	2	-0.151828523	0.047901414	0.001526467	squamous cell carcinoma	IVW
Calcium	8	-0.098742811	0.110585888	0.371907474	adenocarcinoma	IVW
Calcium	8	0.25421796	0.22588108	0.260398209	small cell carcinoma	IVW
Calcium	8	-0.046103589	0.158513517	0.771166371	squamous cell carcinoma	IVW
Caffeine	2	-0.052840937	0.098179005	0.590431975	adenocarcinoma	IVW
Caffeine	2	0.330304138	0.175457519	0.059764018	small cell carcinoma	IVW
Caffeine	2	0.057308356	0.112451249	0.610311787	squamous cell carcinoma	IVW
body mass index	90	-0.062384986	0.081751397	0.445400151	adenocarcinoma	IVW
body mass index	90	0.403976011	0.149032995	0.006715184	small cell carcinoma	IVW
body mass index	90	0.188051942	0.10464621	0.072331521	squamous cell carcinoma	IVW
Birth weight	7	0.007223187	0.131296179	0.956126953	adenocarcinoma	IVW
Birth weight	7	0.059441879	0.37876918	0.875296622	small cell carcinoma	IVW
Birth weight	7	0.081822109	0.150611024	0.586945483	squamous cell carcinoma	IVW
Bilirubin 	2	-0.003161977	0.029425776	0.91442722	adenocarcinoma	IVW
Bilirubin 	2	-0.078322402	0.057378859	0.172251624	small cell carcinoma	IVW
Bilirubin 	2	-0.012066272	0.033729389	0.720539653	squamous cell carcinoma	IVW
Beta-Carotene 	1	-0.078480302	0.072175685	0.276881724	adenocarcinoma	IVW
Beta-Carotene 	1	0.149215367	0.1294068	0.248880804	small cell carcinoma	IVW
Beta-Carotene 	1	0.063863312	0.082920992	0.441198684	squamous cell carcinoma	IVW
asthma	8	-0.00775882	0.042631712	0.855585521	adenocarcinoma	IVW
asthma	7	-0.045453192	0.128937396	0.72444727	small cell carcinoma	IVW
asthma	8	-0.14391842	0.091901659	0.117347543	squamous cell carcinoma	IVW
Alpha-tocopherol 	1	0.099828563	0.120793272	0.408553733	adenocarcinoma	IVW
Alpha-tocopherol 	1	-0.08275429	0.2174456	0.703518871	small cell carcinoma	IVW
Alpha-tocopherol 	1	0.145811158	0.137718884	0.289709382	squamous cell carcinoma	IVW
2hr glucose	7	0.041695583	0.123047931	0.734717884	adenocarcinoma	IVW
2hr glucose	7	0.018911366	0.276401347	0.945451342	small cell carcinoma	IVW
2hr glucose	7	0.012349425	0.119588231	0.917751682	squamous cell carcinoma	IVW
 	35	0.130714517	0.198769781	0.510783848	squamous cell carcinoma	IVW
